datetime,ES52,ES43,ES51,ES42,total
2023-01-01 00:00:00+01:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-02-01 00:00:00+01:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-03-01 00:00:00+01:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-04-01 00:00:00+02:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-05-01 00:00:00+02:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-06-01 00:00:00+02:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-07-01 00:00:00+02:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-08-01 00:00:00+02:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-09-01 00:00:00+02:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-10-01 00:00:00+02:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-11-01 00:00:00+01:00,1063.94,2017.13,3032.81,1003.41,7117.29
2023-12-01 00:00:00+01:00,1063.94,2017.13,3032.81,1003.41,7117.29
